on	man
l'air (m)	Luft; Anblick, Aussehen, Aspekt; Gesicht, Miene; Anschein, Ansehen, Augenschein, Schein
l'individu (m)	Einzelwesen, Individuum
accompli	ausgezeichnet, gediegen, trefflich, vortrefflich, vorzüglich; ansehnlich, eminent, hervorragend; perfekt, vollendet, vollkommen
l'académie (f)	Akademie
l'admiratrice (f)	Verehrerin, Bewunderin
le français, la langue française	Französisch, französische Sprache
le Coran	Koran
traître	treulos; heimtückisch, hinterlistig, wortbrüchig
croire	anerkennen; glauben
le piéton	Fußgänger
le flot	Flüssigkeit; Strom
installer	einführen, einrichten, einsetzen, installieren
obtus	dumpf, stumpf
l'agression (f)	Aggression, Angriff
le tableau	Tabelle, Verzeichnis
l'adolescente (f)	Jugendliche
la géologie	Geologie
la réserve	Proviant; Speisekammer; Versorgung, Vorrat; Reservierung, Vorbehalt
amygdale	Mandel
identique	selber, selbe, selbes; gleicher, gleiche, gleiches; gleich, gleichbedeutend, identisch, völlig übereinstimmend
l'offre (f)	Offerte; Darbietung, Darstellung, Vorstellung; Aufführung, Vorlegung, Präsentation; Antrag, Gebot
la prononciation	Aussprache
l'année (f)	Jahr; Promotion
assaillir	anfallen, angreifen, ausfallen, befallen, überfallen
la disquette	Diskette
le tabou	Tabu
la peinture	Farbe, Schminke
la résistance	Gegenwehr, Widerstand
demander	fragen, anfragen; bestellen; bitten, ersuchen; erfordern, verlangen, zumuten
la réduction	Nachlass, Rabatt, Vergünstigung, Vergütung; Reduktion
acheteuse	Käuferin, Kundin
annoncer	ankündigen, anzeigen, avisieren, melden, anmelden, verkünden
Saint-Esprit	Heiliger Geist
amandier	Mandel, Mandelbaum
l'Africain (m)	Afrikaner
l'astronomie (f)	Astronomie, Himmelskunde, Sternkunde
fameux	berühmt; glorreich
l'impôt (m), la taxe	Abgabe, Steuer, Steuerabgabe
expédier	abfertigen, befördern, expedieren, fortsenden, spedieren
aucun	kein, keinerlei
la puissance	Stärke; Gewalt, Macht, Potenz; Reich, Staat
l'affinité (f)	Verwandtschaft, Ähnlichkeit
décharger	ausladen
la distance	Abstand, Entfernung, Weite
le préjugé, le parti-pris	Vorurteil
tousser	husten
le chaos	Chaos
affranchir	frankieren
hypocrite	scheinheilig, heuchlerisch
commettre un crime, commettre	ein Verbrechen begehen
le foie	Leber
l'adverbe (m)	Adverb, Umstandswort
mesurer	messen, abmessen
envoyer	schicken, senden, einsenden
soustraire	abziehen, subtrahieren
adhérer	beitreten, sich anschließen
rivaliser	konkurrieren, wetteifern
le pronom	Fürwort, Pronomen
le sein	Brust, Busen
faire attention à, prêter attention à	Aufmerksamkeit schenken
clamer	heulen, zetern
l'autobiographie (f)	Autobiographie
incertain	fraglich
le pluriel	Plural
le fer à repasser	Bügeleisen
le rythme	Rhythmus
le fusil	Gewehr
le lieu d'arrivée	Ziel
la détente	Unterhaltung, Amüsement; Zerstreuung, Ablenkung, Vergnügen; Erholung
l'évêque (m)	Bischof
définer	bestimmen, definieren
faire pipi, uriner	Wasser lassen, urinieren, pinkeln
le linge	Tuch
être d'accord	übereinstimmen; beipflichten, beistimmen, einwilligen, zustimmen, zuwilligen
par	durch, mit, vermittels; à, je, zu; hindurch
soupçonner	verdächtigen; argwöhnen
l'archéologie (f)	Archäologie; Altertumskunde
l'affilié (m), la baladeuse, la remorque	Anhänger
la majuscule	Majuskel, Großbuchstabe
acceptable	annehmbar; akzeptabel
la sonnette	Glocke, Klingel; Schelle
démontrer	beglaubigen, bescheinigen, bezeugen; demonstrieren, vorführen, aufzeigen; begründen, beweisen
l'oie (f)	Gans
le coin	Ecke; Keil
suffire	ausreichen, genügen, hinreichen, zureichen
mathématique	mathematisch
iranien	iranisch
rouspéter, se mettre en tranvers	dagegen sein, behindern, entgegnen
le rendez-vous	Rendezvous
reculer	abtreten, nachgeben, weichen; zurückgehen, zurückweichen; aufschieben, fristen, stunden, vertagen, verzögern; zurückfallen, rückwärtsgehen, abnehmen, rückläufig sein, schwächer werden
reporter	wiederbringen; befördern, übertragen
l'accumulateur (m)	Batterie, Akku
la plaine	Ebene
l'occupation (f)	Beschäftigung, Besetzung
bosnien, bosniaque	bosnisch
petit à petit, de proche en proche, peu à peu	allmählich, nach und nach
le Brandebourg	Brandenburg
la divorce	Scheidung
disputer, contester	bestreiten, abstreiten
le remède	Medizin, Arznei, Heilmittel; Medikament; Mittel
éternuer	niesen
la poubelle	Abfalleimer, Mülleimer
le Platon	Plato, Platon
le Suédois	Schwede
inonder	überfluten, überschwemmen
le câble	Kabel
naturellement	verständlich; natürlich
la doctrine	Doktrin, Lehre
correspondant	kongruent (modulo N); verantwortlich
développer	entwickeln; darlegen, erklären, erläutern
dessous	unten; unterhalb
l'ongle (m)	Nagel
vérifier	kontrollieren, nachsehen, überwachen
sensé	gescheit, klug, weise
disposer	arrangieren, einrichten, ordnen, anorden, veranstalten; disponieren, verfügen
le compagnon	Gefährte, Genosse, Geselle
le pan	Rockschoß; Fläche; Seite; Fleck, Stück
héritage (m)	Erbschaft, Vermächtnis
le Britannique	Brite
le jour férié, vacance	Ferientag, freier Tag
l'optimisme (m)	Optimismus
différent	verschieden, verschiedenartig; anders
la part	Anteil, Teil; Portion, Ration
avoir sommeil	schläfrig sein, müde sein
l'armée (f), l'armée militaire (f)	Armee, Heer
le nerf	Nerv
l'océan Atlantique (m)	Atlantischer Ozean
excellent	ausgezeichnet, gediegen, trefflich, vortrefflich, vorzüglich; ansehnlich, eminent, hervorragend
abordable	zugänglich; mäßig; billig
se repentir	bereuen, gereuen
bicyclette, bécane, vélo	Rad, Fahrrad
la douleur	Schmerz, Weh
le bijou	Edelstein, Juwel, Kostbarkeit, Kleinod
le bedeau, l'appariteur (m)	Bote
le point	Punkt
le formulaire	Formular
le Chili	Chile
l'arbrisseau (m)	Strauch, Busch; Staude
le match	Match, Spiel
le gazon, la pelouse	Rasen
haricot (m)	Bohne, Gartenbohne
loin	ab, dahin, fort, heraus, weg, hinweg; entfernt
la théorie	Theorie
la rupture	Brechen, Bruch
savourer, se délecter	naschen
le tissu	(organisches) Gewebe; Stoff, Zeug
strident, criard, perçant	schrill, scharf, spitz
abondant	reichlich
agressif	aggressiv; angriffslustig
désormais	fortan; von jetzt ab, künftig
le négociant, le commerçant	Händler, Kaufmann
gambader	Kapriolen schlagen, Bocksprünge machen, Luftsprünge machen; herumtollen, mutwillig sein, tändeln, übermütig sein
l'octet (m), le byte	Byte
le désert	Einöde, Wildnis, Wüste
adverbial	adverbial
l'Amérique septentrionale (f), l'Amérique du Nord (f)	Nordamerika
relatif	relativ, Relativpronomen
le compartiment	Abteil, Coupé, Kupee
parfumer	parfümieren
justifier	rechtfertigen
l'Irak (f)	Irak
mental, spirituel	geistreich, sinnreich, witzig
le Mexique	Mexiko
imperméable	wasserdicht
le champion	Champion, Verfechter, Sieger, Meister, Anhänger
arcane, le secret	Geheimnis, Hehl
le camion	Lastauto, Lastkraftwagen, LKW
le pleur	Träne; Weinen
ambitieux	ehrgeizig
le Bosnien	Bosnier
austère, sévère	streng
actuellement	zurzeit, momentan
la Colombie	Kolumbien
boycotter	boykottieren, sperren
redresser un jugement	stellen (Uhr), berichtigen, richten (Krawatte)
la Prusse	Preußen
le balai	Besen
éminent	ausgezeichnet, gediegen, trefflich, vortrefflich, vorzüglich; hervorragend, hervorstehend; ansehnlich, eminent
l'aviateur (m)	Pilot, Flieger (pej.)
bâiller	gähnen
l'allégresse (f)	Jubel
indonésien	indonesisch
terrestre	irdisch, terrestrisch
résumer	summieren, zusammenfassen
réciproque	beiderseitig, gegenseitig, wechselseitig
le diplôme	Diplom, Prüfungszeugnis, Urkunde
devoir	müssen, sollen; schulden, schuldig sein
l'orange (f)	Apfelsine, Orange
le menton	Kinn
descendre	hinuntergehen, hinabsteigen; aussteigen; ausgehen, ausrücken; heruntergehen
le douanier	Zollbeamter
l'exactitude (f)	Sorgfalt
l'alcoolique (m)	Alkoholiker
dater	Datum ausmachen, Zeitpunkt festlegen, terminieren, Tag ausmachen, Termin festlegen, sich (zeitlich) verabreden, Datum festlegen, datieren, Zeitpunkt ausmachen
la mélodie	Arie; Melodie, Weise
la note	Kalkül; Aufzeichnung, Notiz
la fête	Feier, Fest
l'arête (f)	Kante; First; Gräte; Kamm
fixe	fest, fix; still
par cœur	auswendig, aus dem Kopf
se réfugier	auswandern; seine Zuflucht nehmen zu, sich flüchten
oral	mündlich
stable	stabil
apparemment	anscheinend, dem Anschein nach, scheinbar
rincer	gurgeln, spülen
propager	propagieren, werben
presser	beeilen, beschleunigen, fördern, befördern; beharren auf, drängen, trotzen; beklemmen, drücken, bedrücken, pressen, zwängen
entrer	eintreten; durchdringen, eindringen
psychique	psychisch, seelisch
courageux	beherzt, dreist, getrost, mutig, tapfer
l'acheteur (m)	Käufer, Kunde
amplifier	verstärken; übertreiben, dick auftragen
la marchandise	Ware; Handelsgut
le taon	Schafbremse; Bremse
faire	anfertigen, herstellen, leiten, machen, tun, zurücklegen; veranlassen
l'artisan (m)	Handwerker
dense	dicht, gedrängt, geschlossen
le pistolet	Pistole
l'Iran (m)	Iran, Persien
provoquer	provozieren
tremper	hart machen, härten, abhärten, stählen; tauchen, eintauchen, tunken, eintunken
la circulation	Zirkulation; Verkehr
jouir, jouir de	genießen, sich freuen an
le séminaire	Seminar
le symbole	Symbol
la Bosnie	Bosnien
être vacant	leerstehen, offen sein, vakant sein
myope	kurzsichtig
Iles normandes	Kanalinseln
s'approcher, s'avancer	sich nähern
l'assaut (m), l'attaque (f)	Anfall, Angriff, Offensive
le tapage	Lärm
le tailleur	Schneider
amer	bitter; Galle
alarmer	alarmieren
la balle de fusil	Kugel
le talent	Talent
surtout	besonders, zunächst; eigens, insbesondere, vornehmlich, vorzüglich, zumal; ausdrücklich, speziell
fatiguer	ermüden; entkräften, verweichlichen; verdrießen
l'accord (m)	Stimmung, Akkord; Abkommen, Einklang, Übereinkommen, Übereinstimmung
la proie	Beute
taire	verschweigen
la Perse	Iran, Persien
la sentinelle, le garde, le gardien	Wache
la trompette	Trompete
la chirurgie	Chirurgie
neutre	neutral
s'acclimater	akklimatisieren
la déstination, l'endroit (m), le lieu	Fleck, Ort, Platz, Stätte, Stelle, Terrain
projeter	planen; entwerfen; schleudern, werfen
odorant	duftend
abjurer	abschwören; verleugnen
facile	geläufig, leicht, mühelos, nicht schwierig
redoubler	verdoppeln
transpirer, suer	schwitzen
le spécimen	Muster, Probe, Probestück
sautiller	hüpfen
répandre	verbreiten, ausstrahlen; streuen; auslassen
la réponse d'un problème	Auflösung, Lösung
moisir	schimmeln, verschimmeln
le paprika	Paprika
indigne	unwürdig, unwert
à pic, escarpé	abschüssig, steil
se démener	sich sträuben, zappeln; trachten nach, sich anstrengen, sich bemühen; streben
unir	einigen, vereinigen
respecter	befolgen; Achtung erweisen, respektieren
la nécessité	Notwendiges; Notwendigkeit
drôle	lustig, unterhaltsam, amüsant; drollig, komisch, spaßhaft; befremdend, kurios, seltsam, sonderbar, wunderlich
solide	gesetzt, solide
le témoin	Zeuge
le filet	Netz; Garn
obscur	dunkel, finster
l'aile (f)	Fittich, Flügel
la grappe	Traube
la plaque	Tafel
raser	barbieren, rasieren
le compromis	Kompromiss
additionner	addieren, hinzurechnen
demain	morgen
essentiel	essenziell, wichtig, wesentlich
<suffixe qui indique un lieu pour quelque chose>	-ei
la majorité	Mehrheit
la propriété	Bauernhof, Besitzung, Gut, Landgut; Beschaffenheit, Güte, Qualität; Eigenart, Eigenheit, Eigenschaft, Eigentümlichkeit
la crème glacée	Eis, Gefrorenes, Speiseeis
couronner	krönen
la Grande-Bretagne	Britannien
le manteau	Mantel, Umhang; Überrock, Überzieher
le stock	Lager, Bestand, Vorrat
imaginer	erdichten, sich einbilden, sich vorstellen
perpétuel	endlos, unendlich; unaufhörlich; stetig, ständig
la mesure de largeur	Breite
s'étonner	sich wundern, staunen
peiner	sich abmühen, sich anstrengen, sich bemühen, sich Mühe geben
le lexique	Lexikon
l'impératif (m)	Befehl, Befehlsform, Imperativ
le cinéma	Kinovorführung, Chinarinde
rassurer	beruhigen
accouchement	Entbindung
l'infinitif (m)	Infinitiv, Grundform
ravager	vernichten, zerstören; verheeren
interminable, infini	endlos, unendlich
se précipiter	hasten; eilen, rennen; stürmen
la tendance	Tendenz
à l'heure	genau, exakt
la pression, l'oppression (f)	Drang, Druck, Drücken, Pressen
malheureux	erbärmlich; unglücklich; arm
toute espèce de, toute sorte de	allerhand, jeglicher
la grue	Kran
le chapitre	Kapitel
adjoindre	beifügen, zufügen
capturer, attraper	erbeuten, ergreifen, ertappen, erwischen, fangen, fassen
l'ardeur (f)	Glut, Feuer, Inbrunst
la profondeur	Tiefe
la boulangerie	Bäckerei, Backstube
foncé	dunkel, düster, trübe
le drap de lit, le drap	Bettlaken, Laken
la Slovénie	Slowenien
le pape	Papst
agacer	abstumpfen, angreifen; anreizen, aufhetzen, reizen, aufreizen; entrüsten
mystifier	narren, zum Besten halten
désert	öde
attester, témoigner	beglaubigen, bescheinigen, bezeugen
alphabétique	alphabetisch
importer	importieren, einführen
la colle	Klebstoff, Leim
faire part de	angeben, mitteilen, verkünden, ankündigen
jeter	speien, ausspeien, auswerfen, spucken; schleudern, werfen
le dossier	Datei; Verzeichnis, Ordner
la moustache	Schnurrbart
partir de	weggehen, abgehen, starten
sonner à la porte	anläuten, klingeln, anklingeln
concourir	konkurrieren, wetteifern; um die Wette laufen, am Wettstreit teilnehmen
le vers	Vers
le chasseur	Jäger
diluer	verdünnen, verfälschen, panschen
conquérir	erobern
le guide	Führer; Reiseführer; Ratgeber, Berater; Mentor
railler, chercher	ausschauen nach, suchen, aufsuchen
entonner	anstimmen
idéal	ideal, musterhaft, vorbildlich, ausgesucht
le club	Klub
le corridor, le couloir	Gang, Hausflur, Flur, Korridor
la tenue	Estrade, Leitung; Verpflegung; Regieren, Regierung
l'atmosphère (f)	Stimmung, Akkord; Atmosphäre
largement	im Überfluss, reichlich; breit
ne ... nullement, pas du tout	durchaus nicht, ganz und gar nicht
la mouche	Fliege
le tablier	Schürze
le conseilleur	Ratgeber, Berater
le coude	Ellbogen
le pasteur	Pastor, Pfarrer; Hirte, Senner
la sauce	Brühe, Sauce, Soße, Tunke
l'administrateur (m)	Verwalter, Geschäftsführer
la gerbe	Garbe, Bündel, Strauß
le défaut	Verderbnis; Fehlen, Fehler, Manko
se dépêcher	hasten; eilen, sputen
stagner	stagnieren, stillstehen
l'allure (f)	Anblick, Aussehen, Aspekt; Eile, Geschwindigkeit, Hast
ployer, fléchir	biegen, beugen, flektieren
illégal	illegal
la solitude	Einsamkeit
le voisinage	Nähe, Nachbarschaft
le Slave	Slawe
le rein	Niere
Hébreu (m)	Hebräer, Jude
ambulance	Krankenwagen, Sanitätsauto, Rettungsauto, Sanka, Ambulanzwagen
qui a raison	im Recht
continuel	beständig, fest, konstant, ständig, stetig, unablässig; ununterbrochen; unendlich, unaufhörlich
retomber, pendre	hängen
trouver	finden, befinden, erachten, ermitteln, vorfinden
la tension	Spannung
baptiste	Baptist, Täufer
diffuser	verbreiten, ausstrahlen
heureusement	glücklicherweise
le poussin	Küken
l'agent de police (m), le policier	Polizist, Schutzmann
propice	gewogen, gnädig, günstig, hold; tauglich, tüchtig
arachide, la cacahuète, la cacahouète	Erdnuss
absolu	absolut, unbedingt, unbeschränkt; unbedingt notwendig, unabdingbar
rester	bleiben, übrigbleiben
inventer	erfinden
mendier	betteln
l'abonné (m)	Abonnent
aristocratie	Adel, Aristokratie
anxieux	ängstlich
le produit	Einnahme, Erlös, Ertrag; Mittel, Werkzeug; Produkt; Handelsgut, Ware
respectif	jeweilig
le bord	Küste, Strand, Ufer, Gestade; Grat, Kante, Saum, Rand
le président	Präsident, Vorsitzender
le dinosaure	Dinosaurier
le fourneau	Herd, Ofen
la population	Bevölkerung
le souffle	Hauch, Atemzug; Eingebung; Atem; Brise
le saumon	Lachs
le limaçon, la limace, l'escargot (m)	Schnecke
le clébard	Köter; Hund
le Mahomet	Mohammed
la patte	Bein; Fuß, Pfote
avoir honte	sich schämen
suivant	nachträglich, später; folgend, nächst, umgehend
la Corée	Korea
la dictée	Diktat
chasser	jagen
le jumeaux	Zwillinge
la Roumanie	Rumänien
bientôt, tout à l'heure	bald, alsbald, baldig
électrique	elektrisch
procurer	anschaffen, beschaffen, besorgen, verschaffen; antun, bewirken, veranlassen, verursachen, zufügen; hervorrufen; vermitteln
remercier	danken, sich bedanken, verdanken
l'écharde (f), l'éclat (m)	Splitter
âcreté	Schärfe, Bitterkeit
la fuite	Flucht
annuel	jährlich
le Pacifique, l'océan Pacifique (m)	Stiller Ozean, Pazifik
l'envie (f)	Neid; Eifersucht
abject	verabscheuenswürdig, verabscheuenswert; gemein, infam
le vedette, la star	Star
l'alternative (f)	Alternative
le cerveau, la cervelle	Gehirn, Hirn
l'aptitude (f)	Neigung, Veranlagung, Disposition; Kapazität; Talent
l'ombrelle (f)	Schirm, Regenschirm, Sonnenschirm
la convention	Akkord, Abkommen, Einklang, Übereinkommen, Übereinstimmung; Übereinkunft
le réglage	Stimmung, Akkord
deux cents	zweihundert
le Christ	Christus
la fondation	Stiftung; Gründung; Einrichtung, Institution
etc.	u.s.w.
le vélomoteur	Moped; Kraftfahrrad, Motorrad
le citoyen	Bürgerschaft
l'assemblée (f), l'assemblée politique (f)	Versammlung
abolir	abschaffen, aufheben; einstellen
le ravage, annihilation	Zerstörung, Verwüstung
tenir place de	ablösen, ersetzen
accommodant	nachgiebig
le nain, bambin	Zwerg
la désolation	Gebrechen, Elend; Traurigkeit; Kummer; Ärger, Betrübnis, Verdruss
s'échapper, échapper	entwischen, entkommen, entfliehen, entrinnen
digne	würdevoll, würdig
tâter, palper	fühlen, befühlen, tasten, antasten, betasten, tappen
adéquate	adäquat, angemessen, entsprechend
le tas	Haufen, Menge, Stapel
vôtre	der deine, der euere, der Ihre
ajuster, s'adapter, s'ajuster	anpassen
l'inscription (f)	Beitritt; Inschrift, Inskription; Registrierung, Aufzeichnung; Überschrift
le pigeon	Taube
désigner	auslesen, wählen, auswählen, erwählen; andeuten, weisen, anweisen, zeigen; angeben, hinweisen; markieren, zeichnen, anzeichnen, kennzeichnen
autoriser	berechtigen, bevollmächtigen, ermächtigen
la théière	Teekanne; Teebüchse
la région	Bereich, Gebiet, Gegend, Region
présent	anwesend
delié	fein
la prison	Karzer; Gefängnis, Verlies
le ton	Klangfarbe, Timbre; Ton
la pension	Internat; Ruhegeld, Altersruhegeld, Rente, Pension; Fremdenheim
considérer	berücksichtigen, betrachten, erwägen, sich überlegen
fervent	eifrig
insister	beharren auf, drängen, trotzen
le matelot	Matrose
le souvenir	Andenken, Erinnerung
aboutir	erlangen, erzielen, reichen, erreichen; ausgehen, ausrücken; führen, leiten; resultieren
l'absence (f)	Abwesenheit
le ballon	Ballon, Luftballon; Fußball
méchant	grausam; böse, schlecht; arg, arglistig, boshaft, hämisch, tückisch, heimtückisch
prescrire	vorschreiben, anordnen, verschreiben
